"Participant","Trial_Order","Wrist_Angle","Exploratory_Kinematics","Object","Mass","Torque","LogI1","LogI3","Trial","EMG_FCR","EMG_FCU","EMG_ECR","EMG_ECU","Hperceived","Lperceived"
"P5",64,"Ulnar",2,"Object 5",434,13068300,5.662616,3.767156,2,3.59078660105873,1.76315022571174,5.16828634466847,11.142814729284,170,42.8
"P5",35,"Neutral",0,"Object 2",156,5791800,5.445371,2.954243,1,0.854501796019837,0.762474150663183,4.34100101432173,31.3987656156134,130,43.8
"P5",26,"Neutral",0,"Object 2",156,5791800,5.445371,2.954243,2,0.978935179987544,0.906350886287514,3.20343560498264,56.9416556371099,140,39
"P5",25,"Neutral",0,"Object 1",236,5791800,5.186108,3.507856,1,0.893394891631222,0.87058842117148,4.59366904893557,38.4033436927726,140,40.3
"P5",29,"Neutral",0,"Object 1",236,5791800,5.186108,3.507856,2,1.12050356405098,0.808344426786123,2.73592117461285,45.1902288170071,130,47.9
"P5",36,"Neutral",0,"Object 4",165,7298550,5.507546,2.819544,1,0.816150727161612,0.735839922507493,3.27138348163289,30.895913240936,150,41.9
"P5",33,"Neutral",0,"Object 4",165,7298550,5.507546,2.819544,2,1.71211361828364,0.932009226422896,3.8182299130214,12.5241853567398,130,49.2
"P5",32,"Neutral",0,"Object 3",277,7298550,5.289411,3.075547,1,1.2770726454245,1.01392465358715,2.94904992397588,11.7580997563856,150,47.8
"P5",31,"Neutral",0,"Object 3",277,7298550,5.289411,3.075547,2,1.04512312155978,0.915328946014085,4.37924171611002,30.2943154676934,140,45.3
"P5",34,"Neutral",0,"Object 6",322,13068300,5.768431,3.49276,1,0.96997709585205,0.965951987101406,4.43065719312275,13.0482525643216,180,48.9
"P5",27,"Neutral",0,"Object 6",322,13068300,5.768431,3.49276,2,1.59721373885,1.09402306770126,3.7355501053835,22.3125340953063,190,43.4
"P5",30,"Neutral",0,"Object 5",434,13068300,5.662616,3.767156,1,1.13698338605195,0.941973644002439,3.9614133991903,23.2705085340031,170,41.3
"P5",28,"Neutral",0,"Object 5",434,13068300,5.662616,3.767156,2,1.07468747592397,1.04206156184083,6.87300882143806,50.5482332902351,190,47.3
"P5",20,"Neutral",1,"Object 2",156,5791800,5.445371,2.954243,1,1.30703992514149,1.30577352906958,3.39314407695742,19.6623222473625,140,58.7
"P5",24,"Neutral",1,"Object 2",156,5791800,5.445371,2.954243,2,1.57261729646043,1.29314714508451,4.10469461722512,28.6046587126098,110,46.9
"P5",17,"Neutral",1,"Object 1",236,5791800,5.186108,3.507856,1,1.68779455124069,1.14156249113915,4.02482932494178,12.8717068033931,110,46.9
"P5",13,"Neutral",1,"Object 1",236,5791800,5.186108,3.507856,2,1.61094626506515,1.27765582848723,3.56349317931472,9.46554090981713,150,44.9
"P5",14,"Neutral",1,"Object 4",165,7298550,5.507546,2.819544,1,2.59839726836895,1.75963516702674,5.07229112682951,16.5800204623417,130,52.4
"P5",15,"Neutral",1,"Object 4",165,7298550,5.507546,2.819544,2,1.75824211176775,1.56540450138452,4.57225259589986,19.2843764592117,120,50.5
"P5",23,"Neutral",1,"Object 3",277,7298550,5.289411,3.075547,1,2.05576017110628,1.16575869385859,3.88390780605334,68.3036879963468,130,51.4
"P5",22,"Neutral",1,"Object 3",277,7298550,5.289411,3.075547,2,1.42667695180049,1.18343513729822,3.31465551880784,53.0167658861763,130,53.6
"P5",21,"Neutral",1,"Object 6",322,13068300,5.768431,3.49276,1,2.32348637187734,1.73161515268068,4.33781196806039,65.4178574666367,160,51.1
"P5",16,"Neutral",1,"Object 6",322,13068300,5.768431,3.49276,2,1.99386517203166,1.31215290194594,5.83410099978856,14.232954947446,150,42.3
"P5",18,"Neutral",1,"Object 5",434,13068300,5.662616,3.767156,1,2.30909069946196,1.35496693015492,4.29042813538416,16.2359721379228,170,56.6
"P5",19,"Neutral",1,"Object 5",434,13068300,5.662616,3.767156,2,2.18780837852814,1.84393216861014,3.54535698872162,79.1822861279933,170,48.9
"P5",1,"Neutral",2,"Object 2",156,5791800,5.445371,2.954243,1,3.68147973160338,1.94184117655693,9.77873663247236,13.3256485387769,120,55.6
"P5",6,"Neutral",2,"Object 2",156,5791800,5.445371,2.954243,2,2.92433357830293,2.16921183917722,4.22770686802318,11.4703498646433,130,54.1
"P5",3,"Neutral",2,"Object 1",236,5791800,5.186108,3.507856,1,2.34816768385766,2.79903680913458,5.37926935401233,12.5334747242854,160,59.5
"P5",4,"Neutral",2,"Object 1",236,5791800,5.186108,3.507856,2,2.4699622418035,2.04892463146382,5.1093242142945,13.4234317772036,130,51.6
"P5",5,"Neutral",2,"Object 4",165,7298550,5.507546,2.819544,1,2.61436737805131,1.92679450500393,5.44232053419312,12.5153659858408,130,60.7
"P5",2,"Neutral",2,"Object 4",165,7298550,5.507546,2.819544,2,2.63754905267687,2.32672403065959,4.34245880605507,9.07620785521301,140,59.7
"P5",8,"Neutral",2,"Object 3",277,7298550,5.289411,3.075547,1,3.34155774548846,2.46585573075696,4.12008333263241,15.3797090444246,90,64.6
"P5",10,"Neutral",2,"Object 3",277,7298550,5.289411,3.075547,2,3.34155774548846,2.46585573075696,4.12008333263241,15.3797090444246,150,63.9
"P5",7,"Neutral",2,"Object 6",322,13068300,5.768431,3.49276,1,2.32976625564217,1.61695535829927,10.1121352653515,14.9735633387922,200,64.8
"P5",11,"Neutral",2,"Object 6",322,13068300,5.768431,3.49276,2,2.32976625564217,1.61695535829927,10.1121352653515,14.9735633387922,160,59
"P5",9,"Neutral",2,"Object 5",434,13068300,5.662616,3.767156,1,3.59527173259497,1.56585191858237,6.25359401287819,19.9145809309338,180,61.9
"P5",12,"Neutral",2,"Object 5",434,13068300,5.662616,3.767156,2,3.59527173259497,1.56585191858237,6.25359401287819,19.9145809309338,170,60
"P5",73,"Radial",0,"Object 2",156,5791800,5.445371,2.954243,1,0.774051805376205,0.98146503026462,2.97996114284963,4.70931869888811,120,39.2
"P5",78,"Radial",0,"Object 2",156,5791800,5.445371,2.954243,2,1.35999803621534,0.913311975360095,4.50845253333409,3.95349358696365,110,41.9
"P5",75,"Radial",0,"Object 1",236,5791800,5.186108,3.507856,1,0.779206892831794,0.878711770250264,3.19213185383904,5.08570324412986,130,44.3
"P5",76,"Radial",0,"Object 1",236,5791800,5.186108,3.507856,2,0.817194295483971,0.893800507882616,4.70977205886171,4.14076104074804,110,38.7
"P5",77,"Radial",0,"Object 4",165,7298550,5.507546,2.819544,1,1.09261168479706,1.01607687840794,3.56382642575025,4.32911448135859,120,38.6
"P5",74,"Radial",0,"Object 4",165,7298550,5.507546,2.819544,2,0.805915409674711,0.796968180123837,4.10353300692389,4.77578670911646,130,43.3
"P5",80,"Radial",0,"Object 3",277,7298550,5.289411,3.075547,1,0.80117835031862,0.91337354174888,2.9623808836323,3.54972155737398,140,40
"P5",82,"Radial",0,"Object 3",277,7298550,5.289411,3.075547,2,0.771280538075185,0.879792756911144,5.83325564223239,4.55287524672242,130,40.5
"P5",79,"Radial",0,"Object 6",322,13068300,5.768431,3.49276,1,0.757634752653675,0.953336357672268,4.91719191368907,4.95813933130956,170,44.4
"P5",83,"Radial",0,"Object 6",322,13068300,5.768431,3.49276,2,1.05504707633595,0.905104941873085,3.65262366105486,4.13454457277026,160,41.5
"P5",81,"Radial",0,"Object 5",434,13068300,5.662616,3.767156,1,0.823492203603573,1.17564885576958,3.71378821650542,4.30069473613282,180,45.8
"P5",84,"Radial",0,"Object 5",434,13068300,5.662616,3.767156,2,0.980371031240818,1.39408274015043,5.194153935383,4.79541214075875,170,42.7
"P5",107,"Radial",1,"Object 2",156,5791800,5.445371,2.954243,1,1.19764036801311,1.25828506399642,3.11950338480959,8.51867433036737,120,43.5
"P5",98,"Radial",1,"Object 2",156,5791800,5.445371,2.954243,2,1.36793620817416,1.19775469598642,3.09048848831532,7.06446047069887,110,35
"P5",97,"Radial",1,"Object 1",236,5791800,5.186108,3.507856,1,1.85561740585434,1.0496547201154,4.23005502215398,6.80360764648189,130,37
